time;Exercise4.server.ppp[0].inputHook[0].packet/sec
0;78.189
1.010372719884;110.884
2.01142151656;101.974
3.011679363842;82.5147
4.017561110364;87.3306
5.025226126562;115.914
6.025968934814;92.7847
7.028289067893;103.83
8.039560208965;90.0658
9.049932898793;98.2258
10.067994914011;90.5935
11.07248158248;98.6362
12.076169435889;96.0315
13.086255135586;101.209
14.094074008881;102.275
15.101160843045;82.4636
16.107664946256;113.908
17.108471740785;113.374
18.113991679431;90.9161
19.114914906622;96.7708
20.127616589447;99.3163
21.134500161246;107.569
22.138510002954;85.2829
23.146918469767;91.6302
24.150954393861;104.311
25.167141640278;99.7831
26.179337151704;107.842
27.180800873764;100.404
28.18673405331;119.648
29.214752340859;105.341
30.230497024717;101.601
31.244268441492;125.914
32.244955343451;95.4508
33.250709293299;97.2662
34.278815506294;96.5572
35.28340181004;84.5578
36.288631506738;84.4772
37.294819647909;91.3657
38.312707457146;98.8636
39.314087375421;93.7693
40.316548057845;105.306
41.332638479811;106.604
42.345731000931;107.916
43.365046547165;92.8951
44.376940074478;109.773
45.388114915316;91.7349
46.391004357586;106.687
47.393937635281;102.832
48.395571902846;95.238
49.424573469908;97.891
50.43590244406;82.2438
51.45725547357;115.7
52.468487615433;105.905
53.497709524275;106.838
54.508590097537;116.678
55.51134946594;111.453
56.5162546037;104.27
57.542440267969;115.188
58.549492327939;99.9351
59.550141664876;109.846
60.551539917736;85.9627
61.551973377006;96.663
62.555460182477;124.219
63.561745756023;111.294
64.568087116633;98.7104
65.571020606438;109.425
66.576273244174;108.569
67.59866824055;115.486
68.603121039177;113.516
69.616192865855;101.352
70.622586728042;115.226
71.646664118613;108.979
72.646860663143;96.428
73.663162490806;88.9542
74.663677306254;112.558
75.667600479526;107.567
76.671624510065;99.5501
77.676143414089;106.731
78.678659651392;98.0941
79.687894678195;100.997
80.707729404835;112.265
81.714277206121;113.146
82.748342409247;107.788
83.750313550613;78.6719
84.754484251775;112.223
85.761411182145;126.493
86.76541834068;108.542
87.769633360684;117.123
88.785658288497;111.819
89.787275537755;116.372
90.801261238571;102.116
91.819706791195;94.536
92.824614809654;111.904
93.834406456124;115.631
94.846248618977;97.9446
95.84681378935;80.7855
96.886603752138;93.032
97.90775806257;91.297
98.915457955831;90.876
99.916821998052;108.828
100.927591885398;112.216
101.952405317391;79.3453
102.960657174396;124.704
103.963031891934;85.7386
104.977743827856;83.207
105.987274664349;93.0162
107.008602378416;121.523
108.020757505384;106.679
109.023770199002;106.822
110.053520282111;75.1677
111.064592292889;90.0408
112.075245605297;94.8883
113.07642288797;105.942
114.076967598723;101.898
115.077966777045;90.3571
116.085081677216;106.119
117.121649603434;106.519
118.126163709789;117.672
119.145944020163;89.1839
120.155094843943;94.1066
121.175214060291;95.6535
122.178836663742;89.0309
123.23464930113;128.836
124.235921356091;111
125.244925875165;98.3771
126.261423115939;100.465
127.266747599887;101.662
128.27990440555;100.409
129.285793533252;90.978
130.286035534568;108.568
131.290010392271;94.1015
132.299558921706;93.7915
133.312443500817;98.9673
134.33298262329;90.1414
135.342507932503;109.177
136.350043354961;80.7609
137.365386118624;75.7828
138.381447959921;95.5085
139.386594202005;105.446
140.391849748637;83.4686
141.410196262869;92.9552
142.410678008547;111.737
143.41303563544;120.286
144.418970981495;88.8171
145.43228959845;82.6386
146.448763562886;107.449
147.4538896062;87.5151
148.470856847458;106.868
149.500161609772;89.3303
150.50765840264;84.9113
151.508703404403;97.4013
152.514850045959;98.7507
153.517374749004;111.993
154.517441179613;91.4124
155.523868794999;102.185
156.531845907667;103.859
157.533206217238;104.759
158.545054364221;109.816
159.546725495679;94.0776
160.556529724389;102.592
161.570250577541;112.371
162.584743235277;101.891
163.585816006004;107.774
164.587912551105;112.688
165.599551154583;106.633
